Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00013477,1.3637E-06,0.00077035,0,0,0,2.2353,0.0054247,1.29E-06,-9.59E-05,0.0099197,-2.00E-07,0.013453,0,0,0,0,0,0,package://Opendoge/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Opendoge/meshes/base_link.STL,,BASE-0204-2,CS_BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.0019419,-0.00069982,1.3745E-06,0,0,0,0.27308,8.83E-05,-1.46E-06,0,8.839E-05,-1.00E-08,0.00010203,0,0,0,0,0,0,package://Opendoge/meshes/FL_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/FL_hip.STL,,HIP2-0204-1,CS_FL_HIP,A1,FL_hip_joint,revolute,0.1425,0.039989,0,0,0,0,base_link,1,0,0,0,0,-0.785,0.26,,,,,,,,
FL_thigh,-0.0003843,-0.028095,-0.0056139,0,0,0,0.344,0.00030277,-1.49E-05,1.995E-05,0.00024471,-5.95E-05,0.00018346,0,0,0,0,0,0,package://Opendoge/meshes/FL_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/FL_thigh.STL,,L_THIGH-0204-1,CS_FL_THIGH,A2,FL_thigh_joint,revolute,0,0.08615,0,0,0,0,FL_hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
FL_calf,0.0049765,-1.17E-05,-0.047529,0,0,0,0.023132,2.88E-05,0,9E-08,2.93E-05,0,1.05E-06,0,0,0,0,0,0,package://Opendoge/meshes/FL_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/FL_calf.STL,,CALF-0204-2,CS_FL_CALF,A3,FL_calf_joint,revolute,0,0,-0.1,0,0,0,FL_thigh,0,1,0,0,0,-2.68,-1.04,,,,,,,,
FL_foot,-0.00086557,-1.88E-07,-0.0022332,0,0,0,0.0039846,2.4E-07,0,-2.00E-08,2.6E-07,0,2.9E-07,0,0,0,0,0,0,package://Opendoge/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://Opendoge/meshes/FL_foot.STL,,FOOT-0204-2,CS_FL_FOOT,Axis_FL_foot_joint,FL_foot_joint,fixed,-1.20E-05,0,-0.099391533,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.0019419,0.00069983,1.3735E-06,0,0,0,0.27308,8.83E-05,1.46E-06,0,8.839E-05,1E-08,0.00010203,0,0,0,0,0,0,package://Opendoge/meshes/FR_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/FR_hip.STL,,æµœÚHIP2-0204-4,CS_FR_HIP,A4,FR_hip_joint,revolute,0.142499999999858,-0.040075,0,0,0,0,base_link,1,0,0,0,0,-0.785,0.26,,,,,,,,
FR_thigh,-0.00039283,0.028155,-0.0056112,0,0,0,0.344,0.00030298,1.489E-05,1.994E-05,0.00024472,5.959E-05,0.00018366,0,0,0,0,0,0,package://Opendoge/meshes/FR_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/FR_thigh.STL,,R_THIGH-0204-1,CS_FR_THIGH,A5,FR_thigh_joint,revolute,0,-0.0861,0,0,0,0,FR_hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
FR_calf,0.0049765,-1.17E-05,-0.047529,0,0,0,0.023132,2.88E-05,0,9E-08,2.93E-05,0,1.05E-06,0,0,0,0,0,0,package://Opendoge/meshes/FR_calf.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Opendoge/meshes/FR_calf.STL,,CALF-0204-3,CS_FR_CALF,A6,FR_calf_joint,revolute,0,0,-0.1,0,0,0,FR_thigh,0,1,0,0,0,-2.68,-1.04,,,,,,,,
FR_foot,-0.00086557,-1.88E-07,-0.0022332,0,0,0,0.0039846,2.4E-07,0,-2.00E-08,2.6E-07,0,2.9E-07,0,0,0,0,0,0,package://Opendoge/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://Opendoge/meshes/FR_foot.STL,,FOOT-0204-3,CS_FR_FOOT,Axis_FR_foot_joint,FR_foot_joint,fixed,-1.20E-05,0,-0.099391533,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.0019419,-0.00069983,1.3735E-06,0,0,0,0.27308,8.83E-05,1.46E-06,0,8.839E-05,-1.00E-08,0.00010203,0,0,0,0,0,0,package://Opendoge/meshes/RL_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RL_hip.STL,,æµœÚHIP2-0204-5,CS_RL_HIP,A7,RL_hip_joint,revolute,-0.1425,0.040025,0,0,0,0,base_link,1,0,0,0,0,-0.785,0.26,,,,,,,,
RL_thigh,-0.0003843,-0.028095,-0.0056139,0,0,0,0.344,0.00030277,-1.49E-05,1.995E-05,0.00024471,-5.95E-05,0.00018346,0,0,0,0,0,0,package://Opendoge/meshes/RL_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RL_thigh.STL,,L_THIGH-0204-2,CS_RL_THIGH,A8,RL_thigh_joint,revolute,0,0.08615,0,0,0,0,RL_hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
RL_calf,0.0049765,-1.17E-05,-0.047529,0,0,0,0.023132,2.88E-05,0,9E-08,2.93E-05,0,1.05E-06,0,0,0,0,0,0,package://Opendoge/meshes/RL_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RL_calf.STL,,CALF-0204-1,CS_RL_CALF,A9,RL_calf_joint,revolute,0,0,-0.1,0,0,0,RL_thigh,0,1,0,0,0,-2.68,-1.04,,,,,,,,
RL_foot,-0.00086557,-1.88E-07,-0.0022332,0,0,0,0.0039846,2.4E-07,0,-2.00E-08,2.6E-07,0,2.9E-07,0,0,0,0,0,0,package://Opendoge/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://Opendoge/meshes/RL_foot.STL,,FOOT-0204-1,CS_RL_FOOT,Axis_RL_foot_joint,RL_foot_joint,fixed,-1.20E-05,0,-0.099391533,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
RR_hip,0.0019419,0.00069982,1.38E-06,0,0,0,0.27308,8.83E-05,-1.46E-06,0,8.839E-05,1E-08,0.00010203,0,0,0,0,0,0,package://Opendoge/meshes/RR_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RR_hip.STL,,HIP2-0204-2,CS_RR_HIP,A10,RR_hip_joint,revolute,-0.1425,-0.040025,0,0,0,0,base_link,1,0,0,0,0,-0.785,0.26,,,,,,,,
RR_thigh,-0.00039283,0.028155,-0.0056112,0,0,0,0.344,0.00030298,1.489E-05,1.994E-05,0.00024472,5.959E-05,0.00018366,0,0,0,0,0,0,package://Opendoge/meshes/RR_thigh.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RR_thigh.STL,,R_THIGH-0204-2,CS_RR_THIGH,A11,RR_thigh_joint,revolute,0,-0.08615,0,0,0,0,RR_hip,0,1,0,0,0,-0.785,0.785,,,,,,,,
RR_calf,0.0049765,-1.17E-05,-0.047529,0,0,0,0.023132,2.88E-05,0,9E-08,2.93E-05,0,1.05E-06,0,0,0,0,0,0,package://Opendoge/meshes/RR_calf.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Opendoge/meshes/RR_calf.STL,,CALF-0204-4,CS_RR_CALF,A12,RR_calf_joint,revolute,0,0,-0.1,0,0,0,RR_thigh,0,1,0,0,0,-2.68,-1.04,,,,,,,,
