Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0016236,-6.9177E-05,0.015583,0,0,0,1.7143,0.0022127,4.02E-06,-3.6465E-05,0.0020643,2.1974E-05,0.0031784,0,0,0,0,0,0,package://URDF.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/base_link.STL,,base^总装配体-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.030951,-0.00024209,-4.0795E-05,0,0,0,0.1082,4.9742E-05,-4.6173E-06,-7.396E-08,5.3569E-05,-5.5323E-10,3.3525E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_hip.STL,,hip^总装配体-1,FL_hip,A_FL_hip,FL_hip_joint,revolute,0.0909,0.04,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.0026672,0.042308,-0.018552,0,0,0,0.16898,0.00015888,2.3524E-07,1.1581E-05,0.00018834,2.0967E-07,5.1655E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_thigh.STL,,L_thigh^总装配体-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.034,0.0254,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,0.011118,-9.6621E-05,-0.05499,0,0,0,0.03185,4.7994E-05,1.7593E-09,-4.8647E-06,4.9907E-05,-1.8896E-07,2.8803E-06,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_calf.STL,,L_calf^总装配体-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,0.0604,-0.12,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,0.002274,-4.2994E-05,0.012284,0,0,0,0.0075144,4.3256E-07,1.9084E-09,-3.7746E-08,5.9944E-07,6.3521E-09,4.8293E-07,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_foot.STL,,L_foot^总装配体-1,FL_foot,,FL_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.030951,0.00024209,4.0795E-05,0,0,0,0.1082,4.9742E-05,4.6173E-06,7.396E-08,5.3569E-05,-5.5323E-10,3.3525E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_hip.STL,,hip^总装配体-2,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.0909,-0.04,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.0026186,-0.04231,-0.018514,0,0,0,0.16898,0.00015887,-2.3529E-07,1.1278E-05,0.00018832,-2.0578E-07,5.1649E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_thigh.STL,,R_thigh^总装配体-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0.034,-0.0254,0,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,0.011145,9.7408E-05,-0.055127,0,0,0,0.031771,4.7745E-05,-1.9825E-09,-4.8155E-06,4.9649E-05,1.9009E-07,2.8649E-06,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_calf.STL,,R_calf^总装配体-1,FR_calf,A_FR_calf,FR_calf_joint,revolute,0,-0.0604,-0.12,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_foot,0.002274,-4.2994E-05,0.012284,0,0,0,0.0075144,4.3256E-07,1.9083E-09,-3.7746E-08,5.9944E-07,6.3521E-09,4.8293E-07,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_foot.STL,,R_foot^总装配体-1,FR_foot,,FR_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.030951,-0.00024209,4.0795E-05,0,0,0,0.1082,4.9742E-05,4.6173E-06,-7.396E-08,5.3569E-05,5.5323E-10,3.3525E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_hip.STL,,hip^总装配体-3,RL_hip,A_RL_hip,RL_hip_thigh,revolute,-0.0909,0.04,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-0.0026672,0.042308,-0.018552,0,0,0,0.16898,0.00015888,2.3524E-07,1.1581E-05,0.00018834,2.0967E-07,5.1655E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_thigh.STL,,L_thigh^总装配体-2,RL_thigh,A_RL_thigh,RL_thigh_joint,revolute,-0.034,0.0254,0,0,0,0,RL_hip,0,1,0,0,0,0,0,,,,,,,,
RL_calf,0.011118,-9.6621E-05,-0.05499,0,0,0,0.03185,4.7994E-05,1.7593E-09,-4.8647E-06,4.9907E-05,-1.8896E-07,2.8803E-06,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_calf.STL,,L_calf^总装配体-2,RL_calf,A_RL_calf,RL_calf_joint,revolute,0,0.0604,-0.12,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_foot,0.002274,-4.2994E-05,0.012284,0,0,0,0.0075144,4.3256E-07,1.9084E-09,-3.7746E-08,5.9944E-07,6.3521E-09,4.8293E-07,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_foot.STL,,L_foot^总装配体-2,RL_foot,,RL_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
RR_hip,-0.030951,0.00024209,-4.0795E-05,0,0,0,0.1082,4.9742E-05,-4.6173E-06,7.396E-08,5.3569E-05,5.5323E-10,3.3525E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_hip.STL,,hip^总装配体-4,RR_hip,A_RR_hip,RR_hip_joint,revolute,-0.0909,-0.04,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RR_thigh,-0.0026186,-0.04231,-0.018514,0,0,0,0.16898,0.00015887,-2.3529E-07,1.1278E-05,0.00018832,-2.0578E-07,5.1649E-05,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_thigh.STL,,R_thigh^总装配体-2,RR_thigh,A_RR_thigh,RR_thigh_joint,revolute,-0.034,-0.0254,0,0,0,0,RR_hip,0,-1,0,0,0,0,0,,,,,,,,
RR_calf,0.011145,9.7408E-05,-0.055127,0,0,0,0.031771,4.7745E-05,-1.9825E-09,-4.8155E-06,4.9649E-05,1.9009E-07,2.8649E-06,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_calf.STL,,R_calf^总装配体-2,RR_calf,A_RR_calf,RR_calf_joint,revolute,0,-0.0604,-0.12,0,0,0,RR_thigh,0,1,0,0,0,0,0,,,,,,,,
RR_foot,0.002274,-4.2994E-05,0.012284,0,0,0,0.0075144,4.3256E-07,1.9083E-09,-3.7746E-08,5.9944E-07,6.3521E-09,4.8293E-07,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_foot.STL,,R_foot^总装配体-2,RR_foot,,RR_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
