Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000600465368410276,-0.00314982453651785,0.00152513518469231,0,0,0,1.84297330256496,0.00116284610393262,2.17717486004626E-06,-2.04491805432312E-06,0.00097787331335566,7.97599370739883E-06,0.00132112556839796,0,0,0,0,0,0,package://htdw_4438/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/base_link.STL,,base-2,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.0010817693436814,-0.00187927639665006,-0.000103178364797727,0,0,0,0.251694707355426,5.39552890070019E-05,6.08004335708032E-07,-1.46745760870242E-06,8.98226386909028E-05,-4.21623575230444E-07,5.58056693088453E-05,0,0,0,0,0,0,package://htdw_4438/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FL_hip.STL,,FL_hip-1,FL___hip,FL__hip,FL_hip_joint,revolute,0.11415,0.035,0,0,0,0,base_link,1,0,0,10,9.5,-1.05,1.05,,,,,,,,
FL_thigh,-0.00099522270995353,-0.0261102304173971,-0.00764463909727428,0,0,0,0.324923566367365,0.000136883717609916,-2.51081384587637E-08,7.98927830574171E-06,0.000184267439524921,-1.85875396867491E-06,6.93741231062479E-05,0,0,0,0,0,0,package://htdw_4438/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FL_thigh.STL,,FL_thigh-2,FL___thigh,FL__thigh,FL_thigh_joint,revolute,0,0.0792,0,0,0,0,FL_hip,0,1,0,10,9.5,-1.57,3.49,,,,,,,,
FL_calf,0.00564494539031023,-0.00121430210950679,-0.00402091270109582,0,0,0,0.0420237310461106,5.55097212687913E-05,-1.76853655275813E-08,-1.4848252832634E-06,5.75372957785657E-05,9.47241098197881E-09,3.0128407726656E-06,0,0,0,0,0,0,package://htdw_4438/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FL_calf.STL,,FL_calf-2,FL___calf,FL__calf,FL_calf_joint,revolute,0,0,-0.12,0,0,0,FL_thigh,0,1,0,10,9.5,-2.53,-0.84,,,,,,,,
FL_foot,-0.00177700896115437,-8.15146748087137E-08,-0.00395177556182794,0,0,0,0.00966852667113704,8.25437347151311E-07,1.24271071784835E-12,-1.34883693730047E-07,1.07494009145841E-06,2.06005010503508E-12,1.03477399730926E-06,0,0,0,0,0,0,package://htdw_4438/meshes/FL_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://htdw_4438/meshes/FL_foot.STL,,FL_foot-4,FL___foot,FL__foot,FL_foot_joint,fixed,0,0,-0.12516,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.00129941228530651,0.00187927660627656,-0.000103178429811555,0,0,0,0.251694702930864,5.39552886042575E-05,-6.43410306357744E-07,-1.93109468278844E-07,8.98226382554237E-05,4.21623724179013E-07,5.58056690994948E-05,0,0,0,0,0,0,package://htdw_4438/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FR_hip.STL,,FR_hip-1,FR___hip,FR__hip,FR_hip_joint,revolute,0.11415,-0.035,0,0,0,0,base_link,1,0,0,10,9.5,-1.05,1.05,,,,,,,,
FR_thigh,-0.00107908332595207,0.0261111105793571,-0.00779460423399831,0,0,0,0.324894722817064,0.000137961821457371,7.73131822402282E-09,7.31514115878551E-06,0.000184252084564708,1.82773197786738E-06,6.82803118444463E-05,0,0,0,0,0,0,package://htdw_4438/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FR_thigh.STL,,FR_thigh-1,FR___thigh,FR__thigh,FR_thigh_joint,revolute,0,-0.0792,0,0,0,0,FR_hip,0,1,0,10,9.5,-1.57,3.49,,,,,,,,
FR_calf,0.00582772688281934,0.00121300586923306,-0.00378068438831555,0,0,0,0.0420237310926577,5.55156034769286E-05,1.31197718604285E-08,-1.48645296435009E-06,5.75372958117152E-05,-1.3966165882081E-08,3.00695860042267E-06,0,0,0,0,0,0,package://htdw_4438/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/FR_calf.STL,,FR_calf-1,FR___calf,FR__calf,FR_calf_joint,revolute,0,0,-0.12,0,0,0,FR_thigh,0,1,0,10,9.5,-2.53,-0.84,,,,,,,,
FR_foot,-0.00177700803731326,-8.23571651431543E-08,-0.00395177559325324,0,0,0,0.00966852763213014,8.25437419791137E-07,1.16317656567687E-12,-1.34883699715158E-07,1.07494017784282E-06,2.06518504767073E-12,1.03477415700368E-06,0,0,0,0,0,0,package://htdw_4438/meshes/FR_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://htdw_4438/meshes/FR_foot.STL,,FR_foot-3,FR___foot,FR__foot,FR_foot_joint,fixed,0,0,-0.12516,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.00129941228530653,-0.00187927660629221,-0.000103178429854591,0,0,0,0.251694702930864,5.39552886042574E-05,-6.43410306357759E-07,1.93109468278806E-07,8.98226382554238E-05,-4.21623724178951E-07,5.5805669099495E-05,0,0,0,0,0,0,package://htdw_4438/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/RL_hip.STL,,RL_hip-3,RL___hip,RL__hip,RL_hip_joint,revolute,-0.11415,0.035,0,0,0,0,base_link,1,0,0,10,9.5,-1.05,1.05,,,,,,,,
RL_thigh,-0.000995222452287906,-0.0261102302598975,-0.00764463879473979,0,0,0,0.324923567925979,0.000136883723369494,-2.51080841967351E-08,7.98927928993349E-06,0.000184267444743497,-1.85875382445889E-06,6.9374122604277E-05,0,0,0,0,0,0,package://htdw_4438/meshes/RL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/RL_thigh.STL,,RL_thigh-3,RL___thigh,RL__thigh,RL_thigh_joint,revolute,0,0.0792,0,0,0,0,RL_hip,0,1,0,10,9.5,-1.57,3.49,,,,,,,,
RL_calf,0.00564494538801444,-0.00121430444885841,-0.00402091270069573,0,0,0,0.042023731046932,5.55097212689287E-05,-1.76853655433821E-08,-1.48482528554528E-06,5.75372957788305E-05,9.47241090121887E-09,3.0128407728267E-06,0,0,0,0,0,0,package://htdw_4438/meshes/RL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://htdw_4438/meshes/RL_calf.STL,,RL_calf-3,RL___calf,RL__calf,RL_calf_joint,revolute,0,0,-0.12,0,0,0,RL_thigh,0,1,0,10,9.5,-2.53,-0.84,,,,,,,,
